numPeriods                          45
numCommodities                      1
numLoadingRegions                   2
numDischargeRegions                 2
numLoadingPorts                     1 1
numDischargePorts                   3 3
numVesselClasses                    5
numTermVesselsInClass               3 3 2 2 2
hoursPerPeriod                      24
spotMarketPricePerUnit              1
spotMarketDiscountFactor            0.999
attemptCost                         0.01
perPeriodRewardForFinishingEarly    0.01
constantForSinglePeriodAlphaSlack   0.5
constantForCumulativeAlphaSlack     1.5
