numPeriods                          60
numCommodities                      1
numLoadingRegions                   2
numDischargeRegions                 2
numLoadingPorts                     2 2
numDischargePorts                   2 2
numVesselClasses                    3
numTermVesselsInClass               4 3 3
hoursPerPeriod                      24
spotMarketPricePerUnit              1
spotMarketDiscountFactor            0.999
attemptCost                         0.01
perPeriodRewardForFinishingEarly    0.01
constantForSinglePeriodAlphaSlack   0.5
constantForCumulativeAlphaSlack     1.0
