name	LoadingRegion_0_Port_0																																																																																																																																																																																																																																																																																																																																																																							
index	0																																																																																																																																																																																																																																																																																																																																																																							
type	Loading																																																																																																																																																																																																																																																																																																																																																																							
regionIndex	0																																																																																																																																																																																																																																																																																																																																																																							
x_coordinate	16755																																																																																																																																																																																																																																																																																																																																																																							
y_coordinate	4229																																																																																																																																																																																																																																																																																																																																																																							
fixedPortFee	25																																																																																																																																																																																																																																																																																																																																																																							
numBerths	1																																																																																																																																																																																																																																																																																																																																																																							
maxAmountPerPeriod	300																																																																																																																																																																																																																																																																																																																																																																							
minAmountPerPeriod	120																																																																																																																																																																																																																																																																																																																																																																							
capacity	405																																																																																																																																																																																																																																																																																																																																																																							
initialInventory	260																																																																																																																																																																																																																																																																																																																																																																							
production	45	48	50	53	55	57	54	52	51	50	48	46	45	43	41	38	38	39	39	40	41	42	43	49	50	48	48	46	45	49	52	55	53	50	48	45	43	42	45	45	35	40	40	45	50	50	52	52	55	55	50	48	45	41	38	35	32	32	30	30	45	48	50	53	55	57	54	52	51	50	48	46	45	45	45	44	42	40	41	42	44	45	47	49	50	48	48	46	45	49	52	55	53	50	48	45	45	45	45	45	35	40	40	45	50	50	52	52	55	55	55	50	45	38	38	35	32	32	20	20	45	48	50	53	55	57	54	52	51	50	48	46	45	45	45	44	42	40	41	42	44	45	47	49	50	48	48	46	45	49	52	55	53	50	48	45	45	45	45	45	35	40	40	45	50	50	52	52	55	55	55	50	48	45	38	35	32	32	30	30	45	48	50	53	55	57	54	52	51	50	48	46	45	45	45	44	42	40	41	42	44	45	47	49	50	48	48	46	45	49	52	55	53	50	48	45	45	45	45	45	35	40	40	45	50	50	52	52	55	55	55	50	48	45	38	35	32	32	30	30	45	48	50	53	55	57	54	52	51	50	48	46	45	45	45	44	42	40	41	42	44	45	47	49	50	48	48	46	45	49	52	55	53	50	48	45	45	45	45	45	35	40	40	45	50	50	52	52	55	55	55	50	48	45	38	35	32	32	30	30	45	48	50	53	55	57	54	52	51	50	48	46	45	45	45	44	42	40	41	42	44	45	47	49	50	48	48	46	45	49	52	55	53	50	48	45	45	45	45	45	35	40	40	45	50	50	52	52	55	55	55	50	48	45	38	35	32	32	30	30
name	LoadingRegion_0_Port_1																																																																																																																																																																																																																																																																																																																																																																							
index	1																																																																																																																																																																																																																																																																																																																																																																							
type	Loading																																																																																																																																																																																																																																																																																																																																																																							
regionIndex	0																																																																																																																																																																																																																																																																																																																																																																							
x_coordinate	16782																																																																																																																																																																																																																																																																																																																																																																							
y_coordinate	3988																																																																																																																																																																																																																																																																																																																																																																							
fixedPortFee	36																																																																																																																																																																																																																																																																																																																																																																							
numBerths	1																																																																																																																																																																																																																																																																																																																																																																							
maxAmountPerPeriod	300																																																																																																																																																																																																																																																																																																																																																																							
minAmountPerPeriod	110																																																																																																																																																																																																																																																																																																																																																																							
capacity	380																																																																																																																																																																																																																																																																																																																																																																							
initialInventory	266																																																																																																																																																																																																																																																																																																																																																																							
